net_id,node_id,pos_x,pos_y
1,K1,-1.5,-0.5
1,K2,-1.5,0.9
1,K3,-2.7,-1.4
1,K4,-2.3,-0.5
1,K5,-2.1,0.7
1,K6,-2.7,2
1,K7,-1.5,2
1,K8,-2.06,2
1,K9,-2.7,0.5
1,K10,-2.7,1.2
1,K11,-3.4,0.7
1,K12,-3.3,1.2
1,K13,-4,1.8
1,K14,-4,0
1,K15,-4,-1.1
1,K16,-4.75,-1.5
1,K17,-5.4,-2
1,K18,-6.2,-1
1,K19,-4.75,0.3
1,K20,-4.75,0.95
1,K21,-6.2,-0.1
1,K22,-6.2,1
1,K23,-4.75,1.8
1,K24,-3.3,-2
2,J1,3.2,-2
2,J2,3.1,-0.5
2,J3,2,-0.5
2,J4,1.5,-1.5
2,J5,1,-1.5
2,J6,0,-1.5
2,J7,0.6,-0.5
2,J8,0,-0.5
2,J9,3.1,0.4
2,J10,3.7,0.4
2,J11,4.25,0.4
2,J12,5,0.4
2,J13,5,-1.1
2,J14,3.1,1
2,J15,2.65,1.5
2,J16,3.7,1.5
2,J17,4.25,1
2,J18,5,1
2,J19,5,2
2,J20,2,1.5
2,J21,1.5,1
2,J22,1,1
2,J23,0.6,1.5
2,J24,0,1.5
2,J25,0,1
